pmid,pmcid,doi,title,keywords,abstract,fulltext,links,site

# academic.oup.com
0,0,19,56,5,960,0,2,https://doi.org/10.1093/BIB/3.4.331
0,0,31,71,0,0,0,2,https://doi.org/10.1093/BIOINFORMATICS/13.5.555
0,0,29,40,0,696,0,2,https://doi.org/10.1093/BIOINFORMATICS/BTG334
0,0,29,45,0,1103,9293,2,https://doi.org/10.1093/BIOINFORMATICS/BTX116
0,0,28,95,0,1104,32843,2,https://doi.org/10.1093/BIOSTATISTICS/KXJ032
0,0,23,68,5,1069,0,2,https://doi.org/10.1093/CZOOLO/61.5.854
0,0,23,35,0,1240,29516,2,https://doi.org/10.1093/DATABASE/BAP020
0,0,18,82,0,1265,26491,2,https://doi.org/10.1093/HMG/DDT384
0,0,21,66,0,1876,21810,2,https://doi.org/10.1093/JHERED/ESI094
0,0,21,113,5,1497,43154,2,https://doi.org/10.1093/MOLBEV/MSH194
0,0,18,98,0,1442,17069,2,https://doi.org/10.1093/NAR/GKG014
0,0,18,68,0,2330,29021,2,https://doi.org/10.1093/NAR/GKH408
0,0,18,153,0,1328,47146,2,https://doi.org/10.1093/NAR/GNJ005
0,0,18,80,0,1088,17318,2,https://doi.org/10.1093/PCP/PCR141
0,0,23,64,0,767,32281,2,https://doi.org/10.1093/PROTEIN/12.1.15
0,0,25,102,5,2036,38481,2,https://doi.org/10.1080/10635150500541599
# keywords question
0,0,21,83,9,1493,39561,2,https://doi.org/10.1093/GLYCOB/CWJ049

# citeseerx.ist.psu.edu
# registry from oaDOI
0,0,0,59,0,1011,0,3,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.10.8642
0,0,0,130,0,0,0,3,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.1033.1320
0,0,0,69,0,239,0,4,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.1000.819
0,0,0,54,0,1372,0,4,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.8.4654
0,0,0,68,0,1772,0,6,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.7.8372
0,0,0,76,0,1269,0,3,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.606.451
0,0,0,76,0,19,0,6,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.356.8938
0,0,0,49,0,23,0,5,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.806.3663

# wiley
0,0,26,45,0,1154,0,2,https://onlinelibrary.wiley.com/doi/10.1002/9781118782392.ch27
0,0,28,83,0,511,0,3,https://currentprotocols.onlinelibrary.wiley.com/doi/abs/10.1002/0471140864.ps1605s14
0,0,29,41,0,0,0,2,https://onlinelibrary.wiley.com/doi/abs/10.1002/9780471650126.dob0949
0,0,59,75,0,2214,0,3,https://onlinelibrary.wiley.com/doi/abs/10.1002/1097-0134(20001001)41:1<108::AID-PROT130>3.0.CO;2-S
0,0,52,129,0,1123,0,3,https://onlinelibrary.wiley.com/doi/abs/10.1002/1098-2272(2000)19:1%2B<::AID-GEPI15>3.0.CO;2-1
0,0,56,98,0,1236,0,2,https://onlinelibrary.wiley.com/doi/abs/10.1002/1615-9861(200102)1:2<340::AID-PROT340>3.0.CO;2-B
0,0,22,84,0,809,0,3,https://onlinelibrary.wiley.com/doi/abs/10.1002/ange.201507047
0,0,20,73,0,1579,0,3,https://onlinelibrary.wiley.com/doi/abs/10.1002/cyto.a.20531
0,0,18,58,0,1484,0,3,https://onlinelibrary.wiley.com/doi/abs/10.1002/humu.21438
0,0,17,93,0,1088,0,3,https://onlinelibrary.wiley.com/doi/abs/10.1002/jcc.10386
0,0,22,110,0,1452,0,3,https://onlinelibrary.wiley.com/doi/abs/10.1002/pmic.200300402
0,0,22,166,0,459,0,3,https://onlinelibrary.wiley.com/doi/abs/10.1002/pmic.200300483
0,0,22,49,0,1972,0,2,https://onlinelibrary.wiley.com/doi/abs/10.1002/pro.5560020302
0,0,18,28,0,828,0,3,https://onlinelibrary.wiley.com/doi/abs/10.1002/prot.10146
0,0,64,71,0,1332,0,3,https://onlinelibrary.wiley.com/doi/abs/10.1002/(SICI)1097-0061(20000130)16:2<177::AID-YEA516>3.0.CO;2-9
0,0,28,94,0,653,0,2,https://onlinelibrary.wiley.com/doi/abs/10.1016/0014-5793(87)80439-8
